"filename", "language", "Markdown", "YAML", "TypeScript React", "Shell Script", "TypeScript", "XML", "CSS", "HTML", "JSON", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/AdminProtected.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/AdminSidebar.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/DashSummaryItem.tsx", "TypeScript React", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/EvaluatorProtected.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/InputElement.tsx", "TypeScript React", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 80
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/LayoutFooter.tsx", "TypeScript React", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/LayoutHeader.tsx", "TypeScript React", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/PerformanceBadge.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/Protected.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/StatusBadge.tsx", "TypeScript React", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/components/Table.tsx", "TypeScript React", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 70
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/data/adminDashboardSummary.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/data/nav.tsx", "TypeScript React", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 85
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/helpers/TopScroll.tsx", "TypeScript React", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 5, 25
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/layouts/AdminLayout.tsx", "TypeScript React", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/layouts/BaseLayout.tsx", "TypeScript React", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/main.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/router/index.tsx", "TypeScript React", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/router/routes.tsx", "TypeScript React", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 111
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/hooks/index.tsx", "TypeScript React", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/adminUserSlice.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 56
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/departmentsSlice.tsx", "TypeScript React", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 64
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/designationsSlice.tsx", "TypeScript React", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 65
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/employeesSlice.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 56
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/evaluatorsSlice.tsx", "TypeScript React", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 56
"/home/orinda/Documents/dev/nancy-appraisal/packages/ui/src/state/slices/normalUsersSlice.tsx", "TypeScript React", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 62
